Order_ID,Date,Product_ID,Supplier_ID,Region_ID,Order_Quantity,Unit_Cost,Shipping_Cost,Delivery_Days,Total_Product_Cost,Total_Order_Cost
100048,2023-08-11,P0116,S014,R1,52,194.8,131.12,3,10129.6,10260.720000000001
100049,2023-11-27,P0042,S017,R3,162,207.98,124.2,11,33692.759999999995,33816.95999999999
100050,2023-05-17,P0093,S018,R3,133,73.53,120.12,8,9779.49,9899.61
100051,2023-04-20,P0173,S006,R1,129,216.23,138.69,7,27893.67,28032.359999999997
100052,2024-09-03,P0185,S017,R1,87,104.68,70.08,5,9107.16,9177.24
100053,2023-02-02,P0180,S014,R2,175,206.97,117.2,10,36219.75,36336.95
100054,2024-06-04,P0148,S001,R3,148,243.64,102.12,10,36058.72,36160.840000000004
100055,2024-08-19,P0162,S011,R3,199,16.25,149.74,4,3233.75,3383.49
100056,2024-07-16,P0024,S010,R4,36,71.81,77.72,4,2585.16,2662.8799999999997
100057,2024-08-14,P0080,S012,R4,116,99.05,59.83,3,11489.8,11549.63
100058,2023-06-19,P0184,S009,R3,100,261.42,62.65,3,26142.0,26204.65
100059,2024-09-12,P0182,S017,R4,172,91.75,88.59,13,15781.0,15869.59
100060,2023-07-31,P0132,S015,R2,78,120.17,148.61,4,9373.26,9521.87
100061,2023-01-25,P0126,S014,R3,29,203.53,127.35,3,5902.37,6029.72
100062,2023-04-24,P0114,S005,R4,40,65.68,57.55,9,2627.2000000000003,2684.7500000000005
100063,2023-02-14,P0192,S002,R2,80,204.42,131.34,1,16353.599999999999,16484.94
100064,2023-09-29,P0097,S002,R1,173,107.19,115.88,7,18543.87,18659.75
100065,2024-11-01,P0016,S004,R4,100,282.15,25.71,11,28214.999999999996,28240.709999999995
100066,2024-04-20,P0056,S010,R3,35,37.89,86.21,5,1326.15,1412.3600000000001
100067,2024-05-14,P0049,S012,R4,196,288.99,48.37,14,56642.04,56690.41
100068,2023-09-09,P0113,S009,R4,147,211.22,65.0,13,31049.34,31114.34
100069,2024-10-28,P0102,S019,R2,18,171.61,90.4,6,3088.9800000000005,3179.3800000000006
100070,2023-08-24,P0178,S018,R4,40,177.43,59.71,8,7097.200000000001,7156.910000000001
100071,2023-03-28,P0154,S018,R4,79,244.84,22.2,7,19342.36,19364.56
100072,2024-01-27,P0156,S019,R1,198,252.85,37.03,9,50064.299999999996,50101.329999999994
100073,2023-02-23,P0066,S008,R3,118,152.1,65.37,12,17947.8,18013.17
100074,2024-03-07,P0183,S017,R1,17,251.25,94.55,4,4271.25,4365.8
100075,2024-03-20,P0025,S003,R1,160,196.71,25.57,13,31473.600000000002,31499.170000000002
100076,2023-10-18,P0175,S001,R4,70,293.63,97.76,9,20554.1,20651.859999999997
100077,2023-04-11,P0149,S008,R3,184,96.0,42.3,12,17664.0,17706.3
100078,2024-03-27,P0009,S019,R4,189,241.04,26.13,8,45556.56,45582.689999999995
100079,2024-12-24,P0085,S012,R2,188,136.32,30.04,10,25628.16,25658.2
100080,2023-08-18,P0006,S006,R4,58,237.94,21.04,10,13800.52,13821.560000000001
100081,2024-08-29,P0084,S004,R3,114,238.27,55.89,7,27162.780000000002,27218.670000000002
100082,2023-06-16,P0010,S006,R3,125,130.23,131.39,14,16278.749999999998,16410.14
100083,2024-11-18,P0052,S015,R3,194,85.61,75.69,14,16608.34,16684.03
100084,2023-08-20,P0085,S014,R3,103,215.52,90.41,6,22198.56,22288.97
100085,2023-03-21,P0133,S001,R1,76,11.5,49.73,10,874.0,923.73
100086,2024-07-29,P0152,S009,R1,156,270.76,118.82,13,42238.56,42357.38
100087,2023-03-29,P0074,S011,R2,193,78.52,87.31,9,15154.359999999999,15241.669999999998
100088,2024-02-21,P0166,S020,R1,156,227.86,79.66,11,35546.16,35625.82000000001
100089,2024-12-15,P0115,S020,R4,57,194.11,143.03,12,11064.27,11207.300000000001
100090,2024-12-07,P0161,S001,R3,97,27.29,93.01,7,2647.13,2740.1400000000003
100091,2024-12-29,P0168,S012,R1,12,147.48,80.02,14,1769.7599999999998,1849.7799999999997
100092,2024-11-01,P0020,S013,R1,123,65.46,52.93,11,8051.579999999999,8104.509999999999
100093,2024-10-19,P0060,S005,R3,194,57.74,50.21,3,11201.56,11251.769999999999
100094,2023-11-21,P0011,S011,R4,165,222.17,87.56,8,36658.049999999996,36745.60999999999
100095,2023-07-08,P0127,S012,R2,152,24.46,83.99,5,3717.92,3801.91
100096,2024-05-15,P0061,S006,R4,80,246.72,137.87,12,19737.6,19875.469999999998
100097,2023-07-26,P0041,S008,R4,122,260.44,111.93,8,31773.68,31885.61
100098,2023-05-26,P0021,S006,R4,32,167.65,147.75,11,5364.8,5512.55
100099,2023-06-17,P0067,S005,R3,100,43.14,89.07,9,4314.0,4403.07
100100,2023-06-13,P0033,S013,R4,189,209.29,71.16,13,39555.81,39626.97
100101,2024-04-10,P0106,S020,R3,164,154.38,131.95,14,25318.32,25450.27
100102,2024-10-30,P0137,S012,R4,21,58.54,126.98,11,1229.34,1356.32
100103,2024-10-24,P0012,S008,R4,81,238.28,110.93,10,19300.68,19411.61
100104,2024-11-12,P0197,S020,R1,190,21.75,45.02,7,4132.5,4177.52
100105,2024-04-03,P0158,S003,R1,125,64.59,45.15,11,8073.75,8118.9
100106,2024-12-18,P0095,S014,R3,31,211.55,79.82,13,6558.05,6637.87
100107,2023-11-23,P0128,S017,R1,86,100.61,52.98,9,8652.46,8705.439999999999
100108,2024-10-27,P0151,S006,R2,91,222.87,28.99,7,20281.170000000002,20310.160000000003
100109,2023-08-19,P0121,S017,R1,95,53.36,83.42,7,5069.2,5152.62
100110,2023-08-29,P0182,S015,R4,141,189.11,65.97,3,26664.510000000002,26730.480000000003
100111,2023-02-18,P0112,S004,R4,13,250.84,127.72,1,3260.92,3388.64
100112,2024-11-21,P0012,S019,R1,131,225.63,26.92,13,29557.53,29584.449999999997
100113,2023-10-28,P0140,S007,R4,45,100.27,116.88,4,4512.15,4629.03
100114,2024-09-09,P0044,S013,R2,104,23.99,29.34,7,2494.96,2524.3
100115,2023-07-02,P0134,S017,R1,43,86.91,67.73,4,3737.1299999999997,3804.8599999999997
100116,2023-09-14,P0079,S017,R3,138,77.68,89.79,7,10719.84,10809.630000000001
100117,2023-12-09,P0162,S005,R2,8,171.72,110.02,11,1373.76,1483.78
100118,2024-05-18,P0172,S020,R4,116,216.65,80.48,4,25131.4,25211.88
100119,2023-10-03,P0192,S020,R2,13,272.95,111.71,8,3548.35,3660.06
100120,2024-09-16,P0170,S017,R3,37,225.11,47.28,14,8329.07,8376.35
100121,2023-02-21,P0192,S018,R4,64,183.35,94.04,5,11734.4,11828.44
100122,2023-05-19,P0070,S005,R2,94,117.2,61.61,6,11016.800000000001,11078.410000000002
100123,2023-05-04,P0089,S003,R1,123,37.1,28.03,6,4563.3,4591.33
100124,2023-11-21,P0182,S002,R1,73,190.85,108.73,2,13932.05,14040.779999999999
100125,2024-02-12,P0116,S001,R1,192,81.63,141.92,4,15672.96,15814.88
100126,2023-09-28,P0193,S003,R2,183,102.0,45.18,11,18666.0,18711.18
100127,2024-12-04,P0056,S009,R4,10,59.42,140.12,6,594.2,734.32
100128,2024-06-17,P0159,S011,R2,68,100.6,118.94,5,6840.799999999999,6959.739999999999
100129,2023-06-24,P0097,S013,R3,176,75.57,68.53,6,13300.32,13368.85
100130,2024-01-16,P0038,S005,R1,104,27.9,67.36,3,2901.6,2968.96
100131,2023-05-12,P0183,S018,R4,85,222.61,111.68,7,18921.850000000002,19033.530000000002
100132,2024-03-16,P0004,S010,R1,71,66.06,64.42,10,4690.26,4754.68
100133,2023-07-28,P0092,S018,R2,76,256.17,89.18,1,19468.920000000002,19558.100000000002
100134,2024-07-20,P0116,S016,R3,176,259.14,58.84,7,45608.64,45667.479999999996
100135,2024-08-06,P0106,S005,R4,95,96.72,127.3,12,9188.4,9315.699999999999
100136,2024-05-23,P0117,S020,R4,64,176.51,35.95,13,11296.64,11332.59
100137,2024-06-10,P0134,S002,R4,25,291.74,139.51,3,7293.5,7433.01
100138,2024-12-18,P0039,S009,R1,157,87.43,124.18,1,13726.51,13850.69
100139,2023-05-24,P0087,S020,R2,25,198.52,85.02,6,4963.0,5048.02
100140,2024-02-14,P0015,S012,R1,123,157.92,26.18,11,19424.16,19450.34
100141,2024-12-25,P0101,S016,R3,112,274.6,112.13,2,30755.200000000004,30867.330000000005
100142,2024-05-20,P0018,S002,R3,122,90.21,126.89,9,11005.619999999999,11132.509999999998
100143,2024-09-18,P0028,S009,R3,31,52.02,36.71,5,1612.6200000000001,1649.3300000000002
100144,2024-07-10,P0036,S015,R4,159,167.89,113.51,4,26694.51,26808.019999999997
100145,2023-02-07,P0076,S007,R1,80,207.48,94.81,4,16598.399999999998,16693.21
100146,2023-05-31,P0100,S020,R2,159,55.76,59.22,4,8865.84,8925.06
100147,2024-04-20,P0179,S008,R4,156,46.16,58.15,2,7200.959999999999,7259.109999999999
100148,2024-03-14,P0059,S005,R1,51,35.94,34.58,1,1832.9399999999998,1867.5199999999998
100149,2023-11-29,P0193,S004,R1,27,30.29,122.25,2,817.8299999999999,940.0799999999999
100150,2024-06-08,P0053,S019,R3,162,133.78,88.4,10,21672.36,21760.760000000002
100151,2024-01-12,P0188,S007,R3,93,95.37,62.53,10,8869.41,8931.94
100152,2023-11-12,P0187,S003,R3,60,182.41,112.05,3,10944.6,11056.65
100153,2024-12-28,P0175,S005,R3,139,78.25,113.98,14,10876.75,10990.73
100154,2024-02-28,P0060,S013,R2,29,261.15,126.39,13,7573.349999999999,7699.74
100155,2024-09-29,P0109,S014,R3,86,166.85,115.66,11,14349.1,14464.76
100156,2023-02-13,P0156,S019,R1,126,148.4,131.57,1,18698.4,18829.97
100157,2024-04-05,P0096,S020,R2,116,164.56,47.25,11,19088.96,19136.21
100158,2024-08-26,P0063,S001,R3,45,104.36,82.46,8,4696.2,4778.66
100159,2024-09-16,P0183,S019,R2,107,281.99,135.26,10,30172.93,30308.19
100160,2023-09-11,P0025,S019,R1,121,249.96,72.69,12,30245.16,30317.85
100161,2024-02-22,P0155,S003,R1,12,13.06,66.49,2,156.72,223.20999999999998
100162,2023-06-21,P0148,S001,R1,25,220.16,100.68,8,5504.0,5604.68
100163,2024-02-15,P0112,S008,R2,159,130.86,43.97,2,20806.74,20850.710000000003
100164,2024-11-27,P0071,S006,R1,71,113.88,100.0,10,8085.48,8185.48
100165,2024-08-08,P0143,S012,R1,123,69.76,58.49,14,8580.480000000001,8638.970000000001
100166,2023-11-05,P0027,S001,R2,96,45.85,124.83,3,4401.6,4526.43
100167,2024-08-24,P0187,S016,R2,104,299.88,72.79,4,31187.52,31260.31
100168,2024-06-23,P0183,S014,R2,112,195.07,81.53,8,21847.84,21929.37
100169,2023-02-13,P0173,S011,R1,2,264.02,25.83,7,528.04,553.87
100170,2023-01-02,P0069,S002,R3,25,147.49,122.15,13,3687.25,3809.4
100171,2023-12-05,P0104,S014,R2,127,250.79,42.08,5,31850.329999999998,31892.41
100172,2023-05-08,P0140,S014,R4,99,112.78,118.96,6,11165.22,11284.179999999998
100173,2024-08-29,P0157,S010,R1,98,244.83,54.32,2,23993.34,24047.66
100174,2024-02-15,P0061,S001,R2,139,85.87,82.4,6,11935.93,12018.33
100175,2024-06-26,P0129,S007,R3,83,36.4,101.93,11,3021.2,3123.1299999999997
100176,2023-03-06,P0186,S009,R1,61,266.13,119.08,2,16233.93,16353.01
100177,2023-05-31,P0151,S003,R4,9,56.96,32.6,1,512.64,545.24
100178,2024-09-02,P0035,S007,R4,117,118.05,139.68,9,13811.85,13951.53
100179,2024-10-05,P0181,S014,R1,109,89.08,122.88,11,9709.72,9832.599999999999
100180,2023-03-12,P0109,S004,R3,126,144.97,110.91,7,18266.22,18377.13
100181,2024-10-14,P0141,S009,R2,149,108.42,132.17,5,16154.58,16286.75
100182,2023-10-23,P0168,S014,R4,170,249.64,116.38,4,42438.799999999996,42555.17999999999
100183,2023-08-19,P0009,S003,R2,76,156.24,39.19,9,11874.240000000002,11913.430000000002
100184,2023-03-25,P0174,S003,R2,198,114.16,57.18,7,22603.68,22660.86
100185,2023-06-26,P0191,S015,R1,176,100.12,55.36,9,17621.120000000003,17676.480000000003
100186,2023-11-14,P0069,S002,R3,82,20.9,57.61,3,1713.8,1771.4099999999999
100187,2024-03-30,P0022,S015,R1,9,173.73,28.52,11,1563.57,1592.09
100188,2023-06-14,P0187,S001,R2,184,242.54,122.71,5,44627.36,44750.07
100189,2023-10-07,P0148,S011,R4,166,95.65,129.15,13,15877.900000000001,16007.050000000001
100190,2024-02-11,P0020,S012,R3,75,68.34,133.05,13,5125.5,5258.55
100191,2024-03-26,P0165,S016,R3,157,12.93,138.25,5,2030.01,2168.26
100192,2024-09-26,P0152,S011,R1,129,103.31,95.26,10,13326.99,13422.25
100193,2024-04-21,P0016,S018,R3,39,208.14,118.21,2,8117.459999999999,8235.669999999998
100194,2023-09-07,P0060,S001,R2,6,96.6,123.52,14,579.5999999999999,703.1199999999999
100195,2024-05-05,P0095,S015,R4,106,287.99,123.85,9,30526.940000000002,30650.79
100196,2023-12-18,P0019,S010,R2,35,65.04,67.2,11,2276.4,2343.6
100197,2024-07-19,P0028,S008,R2,38,52.2,144.33,10,1983.6000000000001,2127.9300000000003
100198,2024-11-12,P0017,S019,R3,7,42.39,88.34,12,296.73,385.07000000000005
100199,2024-03-17,P0118,S010,R1,9,12.36,101.56,10,111.24,212.8
100200,2024-01-01,P0099,S010,R3,93,120.1,55.53,9,11169.3,11224.83
100201,2024-12-17,P0089,S013,R3,91,167.64,35.91,3,15255.239999999998,15291.149999999998
100202,2023-12-29,P0005,S003,R1,167,237.29,120.86,13,39627.43,39748.29
100203,2023-04-16,P0125,S007,R3,173,127.16,81.48,1,21998.68,22080.16
100204,2023-02-06,P0048,S004,R4,101,278.11,25.52,11,28089.11,28114.63
100205,2023-04-23,P0088,S012,R4,79,285.85,64.22,1,22582.15,22646.370000000003
100206,2023-05-25,P0089,S002,R3,121,122.31,110.73,10,14799.51,14910.24
100207,2023-06-08,P0062,S001,R1,98,257.61,75.44,6,25245.780000000002,25321.22
100208,2023-04-26,P0075,S015,R4,11,139.49,56.76,3,1534.39,1591.15
100209,2024-09-10,P0189,S017,R3,182,266.88,81.51,8,48572.159999999996,48653.67
100210,2023-08-01,P0106,S005,R1,186,216.05,57.64,6,40185.3,40242.94
100211,2024-03-01,P0155,S007,R3,78,202.35,82.34,11,15783.3,15865.64
100212,2023-12-04,P0153,S006,R1,13,253.58,20.68,13,3296.54,3317.22
100213,2023-08-02,P0194,S014,R1,173,138.28,128.74,10,23922.44,24051.18
100214,2023-04-04,P0194,S019,R2,119,278.7,20.27,8,33165.299999999996,33185.56999999999
100215,2023-06-14,P0166,S015,R3,5,274.47,29.41,4,1372.3500000000001,1401.7600000000002
100216,2024-09-13,P0029,S004,R3,113,105.6,83.83,11,11932.8,12016.63
100217,2023-10-30,P0070,S009,R2,3,90.15,91.02,9,270.45000000000005,361.47
100218,2023-11-25,P0173,S010,R3,1,150.01,53.32,11,150.01,203.32999999999998
100219,2024-06-24,P0180,S013,R1,149,89.43,68.98,14,13325.070000000002,13394.050000000001
100220,2024-10-04,P0120,S012,R1,95,170.1,96.62,3,16159.5,16256.12
100221,2024-02-02,P0113,S001,R4,23,214.03,72.41,4,4922.69,4995.099999999999
100222,2024-03-01,P0134,S003,R4,162,291.83,25.89,14,47276.46,47302.35
100223,2023-10-20,P0153,S009,R3,26,222.43,83.63,2,5783.18,5866.81
100224,2023-06-18,P0155,S012,R2,70,255.45,23.05,4,17881.5,17904.55
100225,2023-01-19,P0012,S009,R2,49,145.81,61.28,8,7144.6900000000005,7205.97
100226,2023-08-14,P0087,S017,R3,16,198.26,135.35,14,3172.16,3307.5099999999998
100227,2023-11-16,P0167,S001,R1,155,104.78,49.34,13,16240.9,16290.24
100228,2024-05-14,P0172,S008,R4,87,178.71,131.64,10,15547.77,15679.41
100229,2024-07-12,P0185,S011,R4,120,162.25,38.52,9,19470.0,19508.52
100230,2023-12-27,P0022,S019,R2,24,283.0,48.61,13,6792.0,6840.61
100231,2023-08-06,P0164,S014,R4,179,38.1,136.35,8,6819.900000000001,6956.250000000001
100232,2023-04-23,P0161,S018,R1,189,196.59,149.98,4,37155.51,37305.490000000005
100233,2024-05-26,P0088,S002,R1,123,34.64,47.66,7,4260.72,4308.38
100234,2023-12-24,P0197,S013,R4,177,53.87,27.12,2,9534.99,9562.11
100235,2024-05-29,P0104,S010,R2,156,54.79,35.13,1,8547.24,8582.369999999999
100236,2023-04-09,P0151,S002,R4,152,163.25,87.48,1,24814.0,24901.48
100237,2024-12-19,P0022,S011,R2,185,279.93,107.58,12,51787.05,51894.630000000005
100238,2024-12-16,P0146,S005,R3,172,182.13,136.78,8,31326.36,31463.14
100239,2024-03-18,P0125,S008,R1,103,137.22,132.93,2,14133.66,14266.59
100240,2024-11-13,P0096,S012,R4,183,17.02,88.46,10,3114.66,3203.12
100241,2023-08-21,P0161,S019,R3,82,39.19,112.63,9,3213.58,3326.21
100242,2024-07-24,P0013,S015,R4,185,231.25,92.82,5,42781.25,42874.07
100243,2024-02-05,P0030,S010,R1,126,74.43,40.47,9,9378.18,9418.65
100244,2024-07-03,P0057,S003,R4,33,132.33,26.95,2,4366.89,4393.84
100245,2023-08-26,P0073,S007,R4,112,51.31,128.05,3,5746.72,5874.77
100246,2024-05-03,P0022,S009,R4,93,15.81,116.21,6,1470.3300000000002,1586.5400000000002
100247,2023-08-23,P0119,S015,R1,66,37.8,148.38,6,2494.7999999999997,2643.18
100248,2024-06-02,P0041,S017,R1,122,165.78,149.49,2,20225.16,20374.65
100249,2023-04-07,P0063,S001,R4,136,115.28,117.17,12,15678.08,15795.25
100250,2024-10-16,P0185,S011,R3,88,226.25,40.96,11,19910.0,19950.96
100251,2023-04-11,P0032,S014,R4,158,203.83,92.49,13,32205.140000000003,32297.630000000005
100252,2023-12-10,P0163,S005,R1,33,99.95,115.23,8,3298.35,3413.58
100253,2023-07-23,P0198,S001,R4,180,58.33,89.12,12,10499.4,10588.52
100254,2024-12-04,P0124,S019,R1,117,245.01,97.25,2,28666.17,28763.42
100255,2024-01-15,P0084,S018,R1,187,150.07,110.13,5,28063.09,28173.22
100256,2024-06-28,P0133,S006,R1,183,48.67,24.34,7,8906.61,8930.95
100257,2024-09-14,P0168,S008,R2,107,186.26,32.98,6,19929.82,19962.8
100258,2024-11-20,P0015,S009,R2,68,187.31,131.18,13,12737.08,12868.26
100259,2023-05-09,P0168,S003,R2,190,102.54,31.84,6,19482.600000000002,19514.440000000002
100260,2024-10-24,P0113,S006,R3,9,67.55,28.33,12,607.9499999999999,636.28
100261,2023-04-08,P0156,S020,R4,90,164.8,22.81,3,14832.000000000002,14854.810000000001
100262,2024-03-30,P0186,S014,R1,29,21.0,73.96,8,609.0,682.96
100263,2024-11-07,P0081,S009,R4,103,190.57,101.47,5,19628.71,19730.18
100264,2024-10-30,P0118,S015,R2,61,32.72,141.79,4,1995.9199999999998,2137.71
100265,2024-04-30,P0141,S003,R4,144,48.65,108.5,3,7005.599999999999,7114.099999999999
100266,2024-07-18,P0044,S015,R2,62,62.79,144.58,5,3892.98,4037.56
100267,2024-09-06,P0179,S020,R1,72,81.13,75.4,10,5841.36,5916.759999999999
100268,2024-05-13,P0178,S017,R4,97,74.69,118.89,10,7244.929999999999,7363.82
100269,2024-01-13,P0125,S014,R2,163,242.53,89.06,12,39532.39,39621.45
100270,2024-06-03,P0101,S020,R1,195,180.29,107.8,9,35156.549999999996,35264.35
100271,2024-04-14,P0070,S016,R2,43,260.16,67.65,8,11186.880000000001,11254.53
100272,2023-09-30,P0070,S006,R3,159,203.58,93.94,5,32369.22,32463.16
100273,2024-10-31,P0137,S012,R3,184,84.32,147.74,6,15514.88,15662.619999999999
100274,2024-03-21,P0062,S009,R3,74,93.32,128.53,4,6905.679999999999,7034.209999999999
100275,2023-12-27,P0045,S006,R2,48,125.81,80.65,4,6038.88,6119.53
100276,2024-06-26,P0041,S006,R4,115,23.79,105.69,12,2735.85,2841.54
100277,2023-05-17,P0062,S016,R1,95,56.29,139.7,1,5347.55,5487.25
100278,2023-06-18,P0020,S001,R4,69,23.14,110.67,9,1596.66,1707.3300000000002
100279,2023-06-08,P0062,S008,R2,128,227.75,83.53,10,29152.0,29235.53
100280,2024-02-12,P0147,S004,R1,10,37.1,25.67,10,371.0,396.67
100281,2024-03-26,P0060,S020,R4,163,242.77,141.55,7,39571.51,39713.060000000005
100282,2024-12-05,P0146,S017,R1,87,262.48,60.01,9,22835.760000000002,22895.77
100283,2023-05-21,P0036,S004,R3,66,19.83,26.47,10,1308.78,1335.25
100284,2024-10-19,P0050,S004,R3,107,24.25,27.23,10,2594.75,2621.98
100285,2024-02-22,P0034,S006,R3,18,20.28,122.24,5,365.04,487.28000000000003
100286,2024-06-06,P0115,S010,R4,112,101.22,93.28,4,11336.64,11429.92
100287,2023-01-29,P0114,S006,R1,2,49.12,30.68,8,98.24,128.92
100288,2024-10-07,P0162,S011,R3,67,293.77,89.77,1,19682.59,19772.36
100289,2023-02-12,P0192,S004,R4,100,295.61,125.94,7,29561.0,29686.94
100290,2024-08-21,P0043,S019,R4,184,226.5,139.05,14,41676.0,41815.05
100291,2023-11-09,P0025,S003,R1,191,225.14,111.83,5,43001.74,43113.57
100292,2024-08-13,P0187,S017,R2,80,11.91,94.61,13,952.8,1047.4099999999999
100293,2024-01-09,P0168,S006,R2,126,169.35,92.79,12,21338.1,21430.89
100294,2024-12-22,P0191,S001,R4,164,226.35,56.56,13,37121.4,37177.96
100295,2024-12-13,P0020,S008,R4,28,167.95,108.51,11,4702.599999999999,4811.11
100296,2024-05-16,P0150,S012,R1,168,196.9,33.59,8,33079.200000000004,33112.79
100297,2024-02-01,P0193,S016,R4,80,114.78,60.01,13,9182.4,9242.41
100298,2023-06-03,P0103,S012,R1,136,189.58,143.91,14,25782.88,25926.79
100299,2023-11-30,P0124,S018,R2,56,265.78,103.73,7,14883.679999999998,14987.409999999998
100300,2023-09-18,P0026,S012,R1,47,23.79,144.64,3,1118.1299999999999,1262.77
100301,2024-10-29,P0077,S016,R1,65,183.34,92.02,1,11917.1,12009.12
100302,2024-10-05,P0034,S017,R4,109,77.54,134.37,5,8451.86,8586.230000000001
100303,2024-11-29,P0165,S010,R2,153,63.5,97.73,11,9715.5,9813.23
100304,2024-06-08,P0080,S002,R1,5,292.91,58.48,10,1464.5500000000002,1523.0300000000002
100305,2023-05-11,P0044,S014,R4,24,247.47,64.61,9,5939.28,6003.889999999999
100306,2023-12-19,P0122,S003,R2,127,17.24,44.24,8,2189.48,2233.72
100307,2023-11-14,P0193,S014,R1,89,17.56,79.45,10,1562.84,1642.29
100308,2024-02-04,P0035,S003,R1,101,124.52,105.88,2,12576.52,12682.4
100309,2023-12-23,P0125,S001,R1,196,280.02,34.2,1,54883.92,54918.119999999995
100310,2024-05-21,P0169,S011,R3,18,16.41,82.4,12,295.38,377.78
100311,2023-06-08,P0001,S013,R4,150,276.8,44.34,5,41520.0,41564.34
100312,2024-10-07,P0025,S019,R2,171,85.01,54.03,7,14536.710000000001,14590.740000000002
100313,2023-05-25,P0146,S003,R2,159,115.33,28.25,12,18337.47,18365.72
100314,2024-08-31,P0118,S017,R4,163,264.64,69.76,13,43136.32,43206.08
100315,2024-03-03,P0110,S019,R4,157,116.87,135.92,13,18348.59,18484.51
100316,2023-10-15,P0054,S016,R3,136,84.5,104.76,9,11492.0,11596.76
